Wall time,Step,Value
1509527374.56255,24,0.5249999761581421
1509527378.498307,56,0.5125000476837158
1509527378.86675,59,0.5625
1509527392.985395,170,0.4375000298023224
1509527398.94833,215,0.550000011920929
1509527422.769718,402,0.5375000238418579
1509527446.059987,588,0.512499988079071
1509527466.285925,745,0.6000000238418579
1509527483.844369,883,0.7124999761581421
1509527486.888318,904,0.7000000476837158
1509527500.224199,1008,0.675000011920929
1509527510.340543,1090,0.675000011920929
1509527526.091016,1210,0.7250000238418579
1509527534.57974,1279,0.637499988079071
1509527538.525856,1307,0.6500000357627869
1509527594.035262,1742,0.612500011920929
1509527598.944876,1782,0.5374999642372131
1509527599.316202,1785,0.6875
1509527603.317472,1814,0.625
1509527610.938682,1876,0.5249999761581421
1509527612.285356,1887,0.6375000476837158
1509527630.15688,2025,0.637499988079071
1509527641.252132,2111,0.7500000596046448
1509527663.804746,2291,0.5875000357627869
1509527666.928563,2312,0.5625
1509527677.638372,2399,0.7125000357627869
1509527691.988554,2507,0.6000000238418579
1509527694.210312,2525,0.612500011920929
1509527702.722732,2594,0.6875
1509527721.477843,2739,0.7000000476837158
1509527737.538624,2865,0.675000011920929
1509527738.887148,2876,0.6000000238418579
1509527759.087909,3032,0.637499988079071
1509527776.817221,3172,0.625
1509527789.808361,3274,0.8000000715255737
1509527795.65735,3318,0.625
1509527795.783018,3319,0.6875
1509527801.345107,3364,0.6750000715255737
1509527834.057491,3619,0.7125000357627869
1509527849.751201,3743,0.7124999761581421
1509527849.873543,3744,0.6875
1509527850.851535,3752,0.6499999761581421
1509527852.81449,3768,0.8125000596046448
1509527862.979075,3847,0.7374999523162842
1509527882.143226,3999,0.7374999523162842
1509527885.161232,4020,0.6750000715255737
1509527896.733541,4110,0.6750000715255737
1509527913.937761,4245,0.7250000238418579
1509527917.621535,4275,0.75
1509527939.623451,4446,0.7749999761581421
1509527964.400585,4640,0.7125000357627869
1509528003.028634,4942,0.7124999761581421
1509528017.165907,5053,0.7625000476837158
1509528029.112948,5146,0.75
1509528068.619427,5455,0.8000000715255737
1509528086.527305,5596,0.7125000357627869
1509528098.19618,5686,0.7124999761581421
1509528109.375466,5773,0.75
1509528150.43577,6095,0.737500011920929
1509528164.928032,6205,0.7625000476837158
1509528181.209724,6333,0.7875000238418579
1509528206.015414,6527,0.7125000357627869
1509528250.207481,6875,0.7250000238418579
1509528267.632118,7009,0.8250000476837158
1509528274.885291,7068,0.7250000238418579
1509528289.448582,7183,0.6875
1509528295.061766,7225,0.7500000596046448
1509528295.54846,7229,0.7124999761581421
1509528310.847341,7349,0.737500011920929
1509528339.459877,7575,0.7000000476837158
1509528341.684144,7593,0.75
1509528358.088717,7719,0.6875000596046448
1509528370.940462,7820,0.8125
1509528415.060213,8167,0.7375000715255737
1509528421.766041,8218,0.7875000238418579
1509528429.309997,8279,0.7625000476837158
1509528439.581131,8358,0.7749999761581421
1509528443.522571,8390,0.7625000476837158
1509528444.396342,8397,0.75
1509528455.655546,8485,0.7375000715255737
1509528472.883789,8618,0.7124999761581421
1509528510.104478,8910,0.7625000476837158
1509528542.41925,9165,0.6875
1509528551.523217,9235,0.7749999761581421
1509528570.306585,9384,0.800000011920929
1509528570.802237,9388,0.6625000238418579
1509528588.292056,9523,0.7125000357627869
1509528590.625851,9542,0.7124999761581421
1509528602.279605,9633,0.7750000357627869
1509528603.997346,9647,0.800000011920929
1509528627.973414,9835,0.7125000357627869
1509528628.347322,9838,0.7125000357627869
1509528642.69888,9951,0.7250000238418579
1509528655.300565,10050,0.737500011920929
1509528658.000195,10072,0.7125000357627869
1509528663.465594,10113,0.7000000476837158
1509528676.379751,10214,0.7875000238418579
